Gene A	Gene B	Uniprot A	Uniprot B	Symbol A	Symbol B	p(Wrong)	p(No Interaction)	p(Interaction)
148109	478	Q17R55	P13637	FAM187B	ATP1A3	3.97940297092067e-11	0.0781324120219376	0.921867587938268
148109	821	Q17R55	P27824	FAM187B	CANX	1.20662971874803e-11	0.0768741215925518	0.923125878395382
148109	3309	Q17R55	P11021	FAM187B	HSPA5	1.37952186462658e-15	0.0795392790797432	0.920460720920255
148109	56928	Q17R55	Q8TCT7	FAM187B	SPPL2B	4.00225226503132e-9	0.0160571518397118	0.983942844158036
148109	293	Q17R55	P12236	FAM187B	SLC25A6	7.99325266109642e-13	0.0273114511382539	0.972688548860947
148109	9349	Q17R55	P62829	FAM187B	RPL23	4.75394706796849e-13	0.0113833190251465	0.988616680974378
148109	114882	Q17R55	Q9BZF1-2	FAM187B	OSBPL8	1.23297635706015e-7	0.0807911473597575	0.919208729342607
148109	7846	Q17R55	Q71U36	FAM187B	TUBA1A	3.4855571104767e-14	0.0105722626839739	0.989427737315991
148109	6646	Q17R55	P35610	FAM187B	SOAT1	4.25634664919684e-8	0.000703643051128042	0.999296314385405
148109	158747	Q17R55	Q8NHP6	FAM187B	MOSPD2	7.00926689488188e-13	0.000025496346849793	0.999974503652449
54363	8514	Q9UJM8	Q13303	HAO1	KCNAB2	4.87269885898979e-7	0.102141295254315	0.897858217475799
23640	3312	Q9NZL4	P11142	HSPBP1	HSPA8	2.51705095718672e-15	0.126475511245407	0.87352448875459
23640	3310	Q9NZL4	P17066	HSPBP1	HSPA6	3.27484896391187e-12	0.239810046327251	0.760189953669474
23640	26098	Q9NZL4	Q3B7T1	HSPBP1	C10orf137	4.53631839205746e-12	3.27341960842419e-6	0.999996726575855
23640	22978	Q9NZL4	P49902	HSPBP1	NT5C2	3.2975701131699e-11	1.96143616163682e-9	0.999999998005588
23640	1998	Q9NZL4	Q15723-1	HSPBP1	ELF2	0.000468938925630453	0.00809857670999387	0.991432484364376
8514	7881	Q13303	C9JQ60	KCNAB2	KCNAB1	3.8541694168295e-12	5.23838707209384e-10	0.999999999472307
8514	26130	Q13303	Q14C86-2	KCNAB2	GAPVD1	5.26160010521131e-14	0.00375673231325203	0.996243267686695
23313	10971	Q6ICG6-2	P27348	KIAA0930	YWHAQ	6.28937100858681e-14	0.00329270617809199	0.996707293821845
23313	7529	Q6ICG6-2	P31946-2	KIAA0930	YWHAB	1.44332843182752e-14	0.0235290529780029	0.976470947021983
23313	2810	Q6ICG6-2	P31947-2	KIAA0930	SFN	1.7553955763635e-12	0.0166419304626065	0.983358069535638
23313	7532	Q6ICG6-2	P61981	KIAA0930	YWHAG	9.08534838649598e-17	0.0018408378213293	0.998159162178671
23313	7531	Q6ICG6-2	P62258-2	KIAA0930	YWHAE	1.51771160444298e-12	0.00935120960086344	0.990648790397619
23313	7534	Q6ICG6-2	P63104	KIAA0930	YWHAZ	2.12577164861239e-14	0.00103564010513085	0.998964359894848
23313	7533	Q6ICG6-2	Q04917	KIAA0930	YWHAH	1.57897118742219e-12	0.0219755051828983	0.978024494815523
23313	55175	Q6ICG6-2	Q9NVR0	KIAA0930	KLHL11	3.29835036883005e-9	0.0000245268040073942	0.999975469897642
23313	285527	Q6ICG6-2	O94915	KIAA0930	FRYL	1.37226180802356e-6	0.000427451294480768	0.999571176443711
23313	10533	Q6ICG6-2	O95352	KIAA0930	ATG7	8.6189921951146e-11	0.00611504115179152	0.993884958762018
23313	7486	Q6ICG6-2	Q14191	KIAA0930	WRN	0.000216893247246637	0.000258160017636977	0.999524946735116
57805	3312	Q8N163	P11142	KIAA1967	HSPA8	1.75754199134797e-16	0.0978352292210587	0.902164770778941
57805	3305	Q8N163	Q53FA3	KIAA1967	HSPA1L	2.16428239216843e-11	0.202187979365332	0.797812020613025
57805	8514	Q8N163	Q13303	KIAA1967	KCNAB2	1.10641547233711e-10	0.00112295327485698	0.998877046614501
57805	54363	Q8N163	Q9UJM8	KIAA1967	HAO1	5.69131058022475e-10	0.0000165406806855686	0.999983458750183
57805	9859	Q8N163	Q5SW79	KIAA1967	CEP170	1.0914649953826e-22	0.059265455763151	0.94073454423685
57805	7846	Q8N163	Q71U36	KIAA1967	TUBA1A	1.68957101728395e-12	0.0646785850373699	0.93532141496094
57805	10381	Q8N163	Q13509	KIAA1967	TUBB3	2.42276368805841e-11	0.0935357919381923	0.90646420803758
57805	347688	Q8N163	Q3ZCM7	KIAA1967	TUBB8	8.39595925871159e-10	0.0570450048341503	0.942954994326254
57805	4163	Q8N163	P23508-2	KIAA1967	MCC	0.00449889481617387	0.0225948682430181	0.972906236940808
9926	3312	Q92604	P11142	LPGAT1	HSPA8	6.89165164887608e-14	0.138407522907834	0.861592477092098
9926	3305	Q92604	Q53FA3	LPGAT1	HSPA1L	1.01535072151357e-13	0.0728497645879095	0.927150235411989
9926	728378	Q92604	A5A3E0	LPGAT1	POTEF	1.57230213589248e-10	0.000258779094349421	0.99974122074842
123355	3329	Q86X40	P10809	LRRC28	HSPD1	1.88347233148165e-12	0.0000371988895074966	0.999962801108609
123355	664618	Q86X40	Q58FF6	LRRC28	HSP90AB4P	7.55922026489235e-13	0.00112264700031512	0.998877352998929
123355	3304	Q86X40	P08107	LRRC28	HSPA1B	1.12658390983803e-14	0.195911260500566	0.804088739499423
123355	3312	Q86X40	P11142	LRRC28	HSPA8	1.45634649118984e-16	0.0970504415921489	0.902949558407851
123355	3310	Q86X40	P17066	LRRC28	HSPA6	6.85999531503167e-16	0.226762756676668	0.773237243323332
123355	3305	Q86X40	Q53FA3	LRRC28	HSPA1L	1.14862078447091e-13	0.227938678002418	0.772061321997467
123355	10574	Q86X40	Q99832	LRRC28	CCT7	4.28487679782691e-15	0.0784701336546424	0.921529866345353
4109	2648	P43363	Q92830	MAGEA10	KAT2A	7.33077498356887e-12	3.73459114589267e-7	0.999999626533555
4109	8850	P43363	Q92831	MAGEA10	KAT2B	2.34480396333544e-11	7.08554716513471e-7	0.999999291421835
4109	10499	P43363	Q15596	MAGEA10	NCOA2	1.6923279747866e-11	1.25051524007109e-9	0.999999998732561
4109	57325	P43363	Q9H8E8	MAGEA10	CSRP2BP	6.08458737062849e-10	0.203546772253478	0.796453227138063
4109	55689	P43363	Q9ULM3	MAGEA10	YEATS2	1.81313165786851e-11	0.0324534346758048	0.967546565306064
4109	728269	P43363	P43362	MAGEA10	MAGEA9B	2.71144167047084e-10	2.9072740057684e-7	0.999999709001455
4109	728378	P43363	A5A3E0	MAGEA10	POTEF	5.94898111606767e-9	0.0000804533780663762	0.999919540672953
4109	60	P43363	P60709	MAGEA10	ACTB	1.52765362712087e-14	0.0525804276531331	0.947419572346852
4109	11325	P43363	Q86XP3	MAGEA10	DDX42	1.1868538488442e-10	0.0143214898005948	0.98567851008072
4109	1523	P43363	Q13948	MAGEA10	CUX1	1.49573248909799e-9	0.0141756108453314	0.985824387658936
4109	84250	P43363	Q9BQI6	MAGEA10	ANKRD32	0.000274488560571833	0.0000205391048868348	0.999704972334541
4109	8805	P43363	O15164-2	MAGEA10	TRIM24	7.88060450684642e-7	0.0359899323497406	0.964009279589809
4109	23133	P43363	Q9UPP1-2	MAGEA10	PHF8	1.97527656925482e-8	3.2527851046757e-6	0.99999672746213
4109	23314	P43363	Q9UPW6	MAGEA10	SATB2	4.62731075895276e-6	0.000682379659335922	0.999312993029905
4109	8204	P43363	P48552	MAGEA10	NRIP1	0.0000267412572014899	3.00013050110317e-6	0.999970258612297
4109	151903	P43363	Q8WUD4	MAGEA10	CCDC12	1.66971668241802e-9	0.047616792107627	0.952383206222656
4109	6191	P43363	P62701	MAGEA10	RPS4X	3.36071325323087e-12	0.0196312707449717	0.980368729251668
4109	79832	P43363	Q2KHR3-2	MAGEA10	QSER1	2.47486951229291e-11	5.1733631816542e-6	0.99999482661207
4109	90459	P43363	Q8IV48	MAGEA10	ERI1	3.29642841237685e-6	4.75786839818592e-8	0.999996655992904
4109	55810	P43363	Q9P0K8-2	MAGEA10	FOXJ2	1.06970880879176e-10	5.96167115694922e-9	0.999999993931358
4109	23481	P43363	O00541	MAGEA10	PES1	6.95335794101082e-13	0.000378908015597982	0.999621091983707
4109	7169	P43363	P07951-2	MAGEA10	TPM2	1.63133006567825e-7	0.0576977243198805	0.942302112547113
4109	10474	P43363	O75528	MAGEA10	TADA3	1.29678349545454e-7	0.167636390577377	0.832363479744274
4109	29902	P43363	Q8WUB2	MAGEA10	C12orf24	3.61868642988793e-11	1.25249821734916e-9	0.999999998711315
4109	5585	P43363	Q16512-2	MAGEA10	PKN1	3.39029196334491e-9	0.0000105099047516437	0.999989486704956
4109	5451	P43363	P14859-2	MAGEA10	POU2F1	8.90974509368771e-7	4.55536500936974e-7	0.99999865348899
4109	29903	P43363	Q9BWC9	MAGEA10	CCDC106	1.06330092446978e-9	0.00157709523605589	0.998422903700643
4109	54535	P43363	Q8TD31-2	MAGEA10	CCHCR1	2.04408498026104e-7	0.000132387606727455	0.999867407984775
4109	64784	P43363	Q6UUV7-3	MAGEA10	CRTC3	0.00746566706269167	4.45894967852098e-7	0.992533887042341
4109	9569	P43363	Q9UHL9-2	MAGEA10	GTF2IRD1	0.0000862823376133179	0.0000704427998882602	0.999843274862498
4109	6944	P43363	Q15906	MAGEA10	VPS72	0.0027775153112827	0.015991318977596	0.981231165711121
10095	10109	O15143	O15144	ARPC1B	ARPC2	2.44049644436256e-13	0.00140713544058791	0.998592864559168
10095	81873	O15143	Q9BPX5	ARPC1B	ARPC5L	2.58412463382315e-8	0.0795797365956397	0.920420237563114
10095	10092	O15143	O15511-2	ARPC1B	ARPC5	5.15646560746058e-11	0.00438933513637884	0.995610664812057
10095	10097	O15143	P61160	ARPC1B	ACTR2	8.51894484432167e-14	0.00642129926157318	0.993578700738342
10095	10094	O15143	O15145	ARPC1B	ARPC3	6.1148827656016e-18	0.02667103218244	0.97332896781756
10095	57180	O15143	Q9P1U1-2	ARPC1B	ACTR3B	9.40537738563117e-9	0.0208252260553538	0.979174764539269
10095	10096	O15143	P61158	ARPC1B	ACTR3	4.01446070227936e-13	0.00214246450087497	0.997857535498724
10095	10093	O15143	P59998	ARPC1B	ARPC4	7.41012654248061e-12	0.0208834054046909	0.979116594587899
10095	57645	O15143	Q9P215	ARPC1B	POGK	1.85084867644386e-7	6.10222427497374e-6	0.999993712690857
10095	30833	O15143	Q8TCD5	ARPC1B	NT5C	4.57897308689905e-6	2.84105234129531e-6	0.999992579974572
5603	728378	O15264	A5A3E0	MAPK13	POTEF	1.18533717098483e-9	0.0303061398066973	0.969693859007966
25886	10574	Q8NBT0	Q99832	POC1A	CCT7	3.86027531035143e-14	0.00333170877580258	0.996668291224159
25886	10575	Q8NBT0	P50991	POC1A	CCT4	1.33218321260713e-13	0.00519681718092089	0.994803182818946
25886	3312	Q8NBT0	P11142	POC1A	HSPA8	1.74573880653008e-15	0.124640304502911	0.875359695497088
25886	3310	Q8NBT0	P17066	POC1A	HSPA6	9.76133600507939e-16	0.223679082900991	0.776320917099008
25886	3305	Q8NBT0	Q53FA3	POC1A	HSPA1L	2.15471028521165e-12	0.164049448443352	0.835950551554493
25886	908	Q8NBT0	P40227	POC1A	CCT6A	7.67550148605786e-15	0.00981490488122575	0.990185095118767
25886	10694	Q8NBT0	P50990	POC1A	CCT8	1.72022889453151e-15	0.0224178553049049	0.977582144695094
25886	7203	Q8NBT0	P49368	POC1A	CCT3	2.79043379313943e-11	0.0385760900563369	0.961423909915759
25886	6950	Q8NBT0	P17987	POC1A	TCP1	4.42838551892344e-15	0.00639382723640037	0.993606172763595
25886	282809	Q8NBT0	Q8TC44	POC1A	POC1B	0.0000167766480699882	0.0000198643537271205	0.999963358998203
25886	22948	Q8NBT0	P48643	POC1A	CCT5	4.35329952020798e-12	0.0625720512291946	0.937427948766452
25886	10576	Q8NBT0	P78371	POC1A	CCT2	1.41338822480862e-13	0.00552927629022599	0.994470723709633
25886	5082	Q8NBT0	Q13371	POC1A	PDCL	4.16544100836387e-6	0.0540571241108464	0.945938710448145
25886	10190	Q8NBT0	O14530	POC1A	TXNDC9	1.04819950122826e-12	0.0868001469110745	0.913199853087877
25886	11151	Q8NBT0	P31146	POC1A	CORO1A	8.8418166492641e-20	1.274908229659e-7	0.99999987250918
152926	1629	Q8N3J5	P11182	PPM1K	DBT	1.27635157337933e-8	2.70431720716049e-7	0.999999716804763
152926	594	Q8N3J5	P21953	PPM1K	BCKDHB	8.44976125995031e-7	2.76991843802286e-6	0.999996385105436
152926	593	Q8N3J5	P12694	PPM1K	BCKDHA	5.45257445219363e-9	0.000463077075875546	0.99953691747155
8460	60	O60507	P60709	TPST1	ACTB	1.81270392147168e-14	0.111129439396116	0.888870560603866
7389	728378	P06132	A5A3E0	UROD	POTEF	1.52833437418067e-8	0.130216122915889	0.869783861800767
7389	56270	P06132	Q5MNZ6	UROD	WDR45L	3.2455606045028e-7	0.126595627625791	0.873404047818149
22846	3312	Q7L8A9	P11142	VASH1	HSPA8	6.43519991850961e-14	0.115452976639297	0.884547023360638
22846	3310	Q7L8A9	P17066	VASH1	HSPA6	1.1304680302089e-10	0.206940494761997	0.793059505124956
22846	3305	Q7L8A9	Q53FA3	VASH1	HSPA1L	1.75765214468546e-13	0.19151440106201	0.808485598937814
10969	6164	Q99848	P49207	EBNA1BP2	RPL34	1.21849821298509e-9	0.187835814961371	0.812164183820131
10969	6122	Q99848	P39023	EBNA1BP2	RPL3	1.06487147018479e-11	0.186187400101473	0.813812599887878
10969	3312	Q99848	P11142	EBNA1BP2	HSPA8	8.51487639543061e-16	0.229564150222626	0.770435849777373
10969	6128	Q99848	Q02878	EBNA1BP2	RPL6	2.4533340556986e-25	0.19527628336383	0.80472371663617
10969	3024	Q99848	Q02539	EBNA1BP2	HIST1H1A	5.4204628671826e-17	7.6533236231488e-7	0.99999923466764
10969	3008	Q99848	P10412	EBNA1BP2	HIST1H1E	9.13142502390987e-10	0.0558711626588668	0.944128836427991
10969	4869	Q99848	P06748-2	EBNA1BP2	NPM1	8.7055493967922e-22	0.11710274398007	0.88289725601993
10969	6132	Q99848	P62917	EBNA1BP2	RPL8	2.3550686076494e-21	0.034229076617524	0.96577092338248
10969	9188	Q99848	Q9NR30-2	EBNA1BP2	DDX21	7.31078436307293e-12	0.125463591964582	0.874536408028108
10969	6155	Q99848	P61353	EBNA1BP2	RPL27	1.16066136035657e-9	0.128582851148993	0.871417147690346
10969	6202	Q99848	P62241	EBNA1BP2	RPS8	7.6356587397903e-20	0.1292844330001	0.8707155669999
10969	55299	Q99848	Q8TDN6	EBNA1BP2	BRIX1	5.34960726039455e-12	0.0349716291714394	0.965028370823211
10969	7169	Q99848	P07951-2	EBNA1BP2	TPM2	8.16146755640133e-10	0.000997223510819443	0.999002775673034
10969	6137	Q99848	P26373	EBNA1BP2	RPL13	2.4575842136777e-17	0.048877641405535	0.95112235859446
10969	9045	Q99848	P50914	EBNA1BP2	RPL14	3.4522966984375e-19	0.18914000114804	0.81085999885196
10969	6157	Q99848	P46776	EBNA1BP2	RPL27A	4.42369539519909e-9	0.0430129076328227	0.956987087943482
10712	3312	P81408-2	P11142	FAM189B	HSPA8	2.36822028645076e-15	0.105646411930206	0.894353588069791
10712	51741	P81408-2	Q9NZC7-2	FAM189B	WWOX	8.14972496189947e-12	1.24651686741599e-7	0.999999875340164
10712	4734	P81408-2	P46934-4	FAM189B	NEDD4	5.54098967533176e-13	0.0000705416574239971	0.999929458342022
10712	83737	P81408-2	Q96J02-2	FAM189B	ITCH	4.64198617711206e-10	0.00513584294043779	0.994864156595364
10712	23327	P81408-2	Q96PU5-7	FAM189B	NEDD4L	1.49261427789026e-11	5.69945060345729e-6	0.99999430053447
10712	11059	P81408-2	Q9H0M0-3	FAM189B	WWP1	8.02212800808316e-13	0.0632211253077807	0.936778874691417
10712	53	P81408-2	P11117	FAM189B	ACP2	7.16875558449642e-6	0.0534023797136418	0.946590451530774
10712	88455	P81408-2	Q8IZ07	FAM189B	ANKRD13A	3.10972222555235e-12	0.0169255718221348	0.983074428174756
10712	338692	P81408-2	D6RCN6	FAM189B	ANKRD13D	2.1424920686203e-11	0.0000810110678880429	0.999918988910687
10712	8916	P81408-2	Q15034	FAM189B	HERC3	2.98998769487408e-11	0.0832004984882774	0.916799501481823
10712	57520	P81408-2	Q9P2P5	FAM189B	HECW2	2.69971841472241e-13	1.4366036020931e-6	0.999998563396128
10712	7169	P81408-2	P07951-2	FAM189B	TPM2	3.55012500906239e-11	0.0188145102657409	0.981185489698758
10712	339457	P81408-2	Q69YW0	FAM189B	C1orf222	2.02263160302313e-6	0.0000306171379194017	0.999967360230477
10712	50626	P81408-2	E9PJD7	FAM189B	CYHR1	4.1346279256833e-8	6.19830837589811e-7	0.999999338822883
10712	3043	P81408-2	P68871	FAM189B	HBB	0.00020042630021078	0.0818816550583332	0.917917918641456
10712	10413	P81408-2	P46937-2	FAM189B	YAP1	3.44657524485001e-12	0.00928964827945683	0.990710351717097
10712	80854	P81408-2	Q8WTS6	FAM189B	SETD7	0.00240979053502683	0.0408356476495648	0.956754561815408
10712	10099	P81408-2	O60637	FAM189B	TSPAN3	0.00381817461214672	0.0128020241105765	0.983379801277277
10712	25807	P81408-2	Q9Y3P4	FAM189B	RHBDD3	0.000182111415312971	0.00492611007477166	0.994891778509915
10712	10385	P81408-2	Q8WVV5-2	FAM189B	BTN2A2	0.000135346854628174	0.111665743569266	0.888198909576106
83957	3310	UNKNOWN	P17066	FKSG43	HSPA6	2.73119942763887e-13	0.193279625007034	0.806720374992693
83957	83786	UNKNOWN	Q9BZ68	FKSG43	FRMD8	2.02232266523118e-14	1.7845849641381e-10	0.999999999821521
3354	506	P28566	P06576	HTR1E	ATP5B	8.78366124627271e-15	0.00825978921381166	0.991740210786179
3354	339457	P28566	Q69YW0	HTR1E	C1orf222	0.0279444862015736	0.00118427005049114	0.970871243747935
3623	3309	P05111	P11021	INHA	HSPA5	3.60295713680937e-15	0.057171007388493	0.942828992611503
3623	2923	P05111	P30101	INHA	PDIA3	1.07223246452142e-9	0.0108625285022811	0.989137470425487
3623	811	P05111	P27797	INHA	CALR	6.51402009952506e-13	0.00315478527893457	0.996845214720414
3623	8517	P05111	Q9Y6K9-2	INHA	IKBKG	0.0000324709901042777	0.000148209540026225	0.999819319469869
57179	3312	Q96A73	P11142	KIAA1191	HSPA8	1.94867743379012e-16	0.180879211850045	0.819120788149955
57179	3310	Q96A73	P17066	KIAA1191	HSPA6	2.37239922706563e-14	0.207851662252087	0.792148337747889
57179	10498	Q96A73	Q86X55-1	KIAA1191	CARM1	6.10638751828829e-11	0.0408024099775552	0.959197589961381
4010	4081	O60663-2	Q13394	LMX1B	MAB21L1	2.52655883178045e-7	0.000509506446968487	0.999490240897148
4010	728378	O60663-2	A5A3E0	LMX1B	POTEF	1.94676943580016e-11	8.23957898410587e-6	0.999991760401548
4010	60	O60663-2	P60709	LMX1B	ACTB	1.75740181083355e-14	0.0734165719258239	0.926583428074158
4010	63876	O60663-2	Q96KN3	LMX1B	PKNOX2	2.36716754759356e-8	1.05261278377554e-8	0.999999965802197
4010	25973	O60663-2	Q7L3T8	LMX1B	PARS2	4.18006281729483e-13	0.228653306729547	0.771346693270035
4010	8861	O60663-2	Q86U70-2	LMX1B	LDB1	2.94153000100822e-10	0.0000159507344062223	0.999984048971441
4010	5087	O60663-2	P40424-2	LMX1B	PBX1	1.39737373088171e-8	0.000711450934356653	0.999288535091906
4010	5089	O60663-2	P40425	LMX1B	PBX2	3.36338553000403e-11	6.98472668308375e-6	0.999993015239683
4010	5090	O60663-2	P40426-2	LMX1B	PBX3	1.59912852492044e-12	0.0000493354450885553	0.999950664553312
4010	4211	O60663-2	O00470	LMX1B	MEIS1	5.85682368522131e-12	1.50341509507336e-6	0.999998496579048
4010	4212	O60663-2	O14770-2	LMX1B	MEIS2	6.14993485757529e-13	7.16286025454354e-7	0.999999283713359
4010	23635	O60663-2	D6RH18	LMX1B	SSBP2	1.129747521937e-18	4.4718300297061e-9	0.99999999552817
4010	170463	O60663-2	Q9BWG4	LMX1B	SSBP4	9.4267325350737e-16	5.7899855979502e-10	0.999999999421
4010	23648	O60663-2	Q9BWW4-2	LMX1B	SSBP3	4.0935717054514e-18	1.8196491540095e-9	0.99999999818035
126868	10768	Q8N8X9	O43865	MAB21L3	AHCYL1	2.72194157356349e-12	0.123554461808194	0.876445538189084
55998	3312	Q9H1B4-2	P11142	NXF5	HSPA8	7.81438190990415e-16	0.0375960756748367	0.962403924325162
55998	3310	Q9H1B4-2	P17066	NXF5	HSPA6	2.37652255427557e-14	0.160855418147421	0.839144581852555
55998	10694	Q9H1B4-2	P50990	NXF5	CCT8	1.2334055713266e-13	0.219696992505239	0.780303007494637
55998	7203	Q9H1B4-2	P49368	NXF5	CCT3	1.74184654297847e-15	0.243899252632924	0.756100747367074
55998	10574	Q9H1B4-2	Q99832	NXF5	CCT7	6.65857012985474e-16	0.182472764048348	0.817527235951651
83879	10971	Q9BWT1-2	P27348	CDCA7	YWHAQ	5.32560021657289e-11	0.156502734529762	0.843497265416982
83879	2810	Q9BWT1-2	P31947-2	CDCA7	SFN	1.1619297731012e-11	0.205268539772994	0.794731460215386
83879	7534	Q9BWT1-2	P63104	CDCA7	YWHAZ	2.11552355193845e-14	0.188275276919774	0.811724723080205
83879	7533	Q9BWT1-2	Q04917	CDCA7	YWHAH	7.88215416343092e-15	0.231724047811424	0.768275952188568
5426	5427	Q07864	P56282	POLE	POLE2	3.17108918602643e-10	6.32822249093512e-7	0.999999366860642
64091	84720	UNKNOWN	Q8TEQ8-2	POPDC2	PIGO	4.07822641586351e-11	0.0793771417989578	0.92062285816026
64091	51635	UNKNOWN	Q9Y394-2	POPDC2	DHRS7	0.0000386301759227128	0.0243902345805922	0.975571135243485
64091	287	UNKNOWN	Q01484-2	POPDC2	ANK2	0.011711131943753	0.0577655024837624	0.930523365572484
64091	84514	UNKNOWN	Q8N2G8	POPDC2	GHDC	1.06883110673817e-7	0.0304091965655945	0.969590696551295
64091	286410	UNKNOWN	Q8NB49-2	POPDC2	ATP11C	8.46097087046869e-9	0.0155076931306894	0.98449229840834
64091	53373	UNKNOWN	Q9ULQ1-3	POPDC2	TPCN1	7.0787195387697e-6	0.000368209262218055	0.999624712018243
64091	6646	UNKNOWN	P35610	POPDC2	SOAT1	2.71564486318893e-9	0.010932956034739	0.989067041249616
64091	8086	UNKNOWN	Q9NRG9	POPDC2	AAAS	2.97822348920668e-13	0.0775046593557788	0.922495340643923
64091	196527	UNKNOWN	Q4KMQ2	POPDC2	ANO6	2.96246187709537e-6	0.0238148318930993	0.976182205645023
64091	56996	UNKNOWN	Q9BXP2	POPDC2	SLC12A9	1.7858714675e-9	0.0519096873132827	0.948090310900846
64091	25807	UNKNOWN	Q9Y3P4	POPDC2	RHBDD3	0.00333698441054537	0.097705976684033	0.898957038905422
64091	10723	UNKNOWN	Q9Y666	POPDC2	SLC12A7	6.72347327175914e-15	0.0278739898537468	0.972126010146247
64091	109	UNKNOWN	O60266	POPDC2	ADCY3	0.000169233415306643	0.00311832973401207	0.996712436850681
64091	124944	UNKNOWN	Q8IXM2	POPDC2	C17orf49	0.00501231869526829	0.000434613139182455	0.994553068165549
64091	57216	UNKNOWN	Q9ULK5	POPDC2	VANGL2	3.23141189053063e-11	0.0118081441183652	0.988191855849321
